X,Y,OBJECTID,CRIMEID,CCN,REPORTDATE,ROUTEID,MEASURE,OFFSET,STREETSEGID,ROADWAYSEGID,FROMDATE,TODATE,MARID,ADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,WARD,EVENTID,MAR_ADDRESS,MAR_SCORE,MAJORINJURIES_BICYCLIST,MINORINJURIES_BICYCLIST,UNKNOWNINJURIES_BICYCLIST,FATAL_BICYCLIST,MAJORINJURIES_DRIVER,MINORINJURIES_DRIVER,UNKNOWNINJURIES_DRIVER,FATAL_DRIVER,MAJORINJURIES_PEDESTRIAN,MINORINJURIES_PEDESTRIAN,UNKNOWNINJURIES_PEDESTRIAN,FATAL_PEDESTRIAN,TOTAL_VEHICLES,TOTAL_BICYCLES,TOTAL_PEDESTRIANS,PEDESTRIANSIMPAIRED,BICYCLISTSIMPAIRED,DRIVERSIMPAIRED,TOTAL_TAXIS,TOTAL_GOVERNMENT,SPEEDING_INVOLVED,NEARESTINTROUTEID,NEARESTINTSTREETNAME,OFFINTERSECTION,INTAPPROACHDIRECTION,LOCATIONERROR,LASTUPDATEDATE,MPDLATITUDE,MPDLONGITUDE,MPDGEOX,MPDGEOY,BLOCKKEY,SUBBLOCKKEY,FATALPASSENGER,MAJORINJURIESPASSENGER,MINORINJURIESPASSENGER,UNKNOWNINJURIESPASSENGER
-77.03195377,38.91918678,193197845,28612715,20173020,2020/12/05 17:58:02+00,0,0,0.21,,,2020/12/04 05:00:00+00,1970/01/01 00:00:00+00,306455,2129 14TH STREET NW,38.918905,-77.031952,397229.136,139004.351,Ward 1,{B992B95B-C1C1-41D4-AF15-D71D2A4C7F1E},2129 14TH STREET NW,200,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0,East,,1970/01/01 00:00:00+00,38.919179,-77.031949,397257.41,139004.32,9a26968159cc30c356bacb4bf726c135,9a26968159cc30c356bacb4bf726c135,0,0,0,0
-77.04381126,38.9102832,193197846,28612717,20173009,2020/12/05 17:36:01+00,0,0,13.05,,,2020/12/05 05:00:00+00,1970/01/01 00:00:00+00,243105,1501 CONNECTICUT AVENUE NW,38.910492,-77.043781,396202.803,138070.83,Ward 2,{1DEC5258-F878-490E-A6C7-D829413B3C02},1501 CONNECTICUT AVENUE NW,200,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0,East,,1970/01/01 00:00:00+00,38.910324,-77.043672,396210.9,138074.54,d4f7f6cd82823e457e80b0f71661c5ee,d4f7f6cd82823e457e80b0f71661c5ee,0,0,0,0
-76.99379788,38.86151062,193197847,28612729,20173023,2020/12/05 18:11:29+00,0,0,0.04,,,2020/12/05 05:00:00+00,1970/01/01 00:00:00+00,902586,HOWARD ROAD SE & MARTIN LUTHER KING JR AVENUE SE,38.861503,-76.993796,400538.448,132631.771,Ward 8,{67B7C1A4-7755-402A-B7C0-CE1CE1A27E57},HOWARD ROAD SE AND MARTIN LUTHER KING JR AVENUE SE,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0,East,,1970/01/01 00:00:00+00,,,400538.45,132631.77,40894de5be69af4b9a3517bb2f29d637,40894de5be69af4b9a3517bb2f29d637,0,0,0,0
-76.98177428,38.84554777,193197848,28612733,20173027,2020/12/05 18:23:06+00,Route not found,0,0,,,2020/12/05 05:00:00+00,1970/01/01 00:00:00+00,306557,1535 ALABAMA AVENUE SE,38.84543,-76.980592,401684.81,130847.78,Ward 8,{9526505A-35D0-4861-9B5C-CF1CD9FC318F},1535 ALABAMA AVENUE SE,200,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0,Unknown,Crash point too far away from centerline,1970/01/01 00:00:00+00,38.84554,-76.981772,401647.46,130789.95,Unknown,Unknown,0,0,0,0
-76.9310582,38.8760902,193197849,28612744,20173028,2020/12/05 18:59:22+00,0,0,21.09,,,2020/12/05 05:00:00+00,1970/01/01 00:00:00+00,278556,5078 BENNING ROAD SE,38.87648,-76.931184,405971.312,134296.614,Ward 7,{AB4AE5C4-246A-4A26-AF4A-2080B9EEDBDC},5078 BENNING ROAD SE,200,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Not Available,0,East,,1970/01/01 00:00:00+00,38.8762,-76.930865,405995.15,134296.46,ccfe12fa843ac03fd15e3d17259881a5,ccfe12fa843ac03fd15e3d17259881a5,0,0,0,0
-77.04168003,38.90785289,193197850,28612758,20173061,2020/12/05 19:32:56+00,0,0,1.54,,,2020/12/05 05:00:00+00,1970/01/01 00:00:00+00,241754,1319 18TH STREET NW,38.9077,-77.041301,396417.749,137760.888,Ward 2,{D6D1764F-FC6E-4C50-BF57-8D0273C8A1D4},1319 18TH STREET NW,200,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0,East,,1970/01/01 00:00:00+00,38.907845,-77.04166,396417.78,137770.44,f531be9ad7877b5fa119badc69fde6a3,2903386ce2161030c0472ff215ad92d8,0,0,0,0
-76.94437684,38.86560997,193197851,28612765,20173011,2020/12/05 19:41:40+00,0,0,2.63,,,2020/12/05 05:00:00+00,1970/01/01 00:00:00+00,27052,41ST PLACE SE & SOUTHERN AVENUE SE,38.865602,-76.944375,404827.473,133088.333,Ward 7,{5EAB2E54-5872-4E75-B4B6-6E703E0D6BA9},4100 SOUTHERN AVENUE SE,200,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0,East,,1970/01/01 00:00:00+00,38.865619,-76.944396,,,60ecd466f31876ccdfba8e35604b3f90,a18e766c9b3e73ff23379bc1a2ebc6c6,0,0,0,0
-76.99116787,38.90020795,193197852,28612784,20173076,2020/12/05 20:51:33+00,0,0,19.3,,,2020/12/05 05:00:00+00,1970/01/01 00:00:00+00,74599,1100 H STREET NE,38.900417,-76.991526,400735.081,136951.543,Ward 6,{9D0C6084-EA8A-4A9C-BAA5-95CA6FADF91B},1100 H STREET NE,200,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,Not Available,0,East,,1970/01/01 00:00:00+00,38.900374,-76.991166,400750.72,136951.56,3090f69cb74df36c6dd686e178f2b3e8,3090f69cb74df36c6dd686e178f2b3e8,0,0,0,0
-77.0121593,38.91214582,193197853,28612786,20173090,2020/12/05 20:54:00+00,0,0,1.13,,,2020/12/04 05:00:00+00,1970/01/01 00:00:00+00,313290,75 P STREET NE,38.909605,-77.006269,399456.277,137971.535,Ward 5,{273D6CB0-4117-49B4-9C45-59307BEDB298},75 P STREET NE,200,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0,East,,1970/01/01 00:00:00+00,38.912138,-77.01217,399448.45,137957.09,7185539e384a4f3066b66c7e60887a6b,7185539e384a4f3066b66c7e60887a6b,0,0,0,0
-77.02761051,38.88162425,193197854,28611764,20172563,2020/12/04 19:29:41+00,0,0,47.65,,,2020/12/04 05:00:00+00,1970/01/01 00:00:00+00,302697,1100 MAINE AVENUE SW,38.881561,-77.028156,397556.987,134858.795,Ward 6,{9F085123-38D5-4E1E-BA6F-BAF5F1690DD5},1100 MAINE AVENUE SW,200,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0,East,,1970/01/01 00:00:00+00,38.881235,-77.02786,397562.54,134844.49,d164226a8c4234bb05a1243b3f530863,c63a1fbca1bb016ca80cd84f771d8729,0,0,0,0
