Date,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,CrashCount
1/1/16,46,37.8,42.1,31.3,0,0,0,0,12.4,314.29,0,9.9,73.4,57.83,61
1/2/16,47.9,32.6,39.8,27.5,0,0,0,0,10.1,235.08,18.3,9.9,7.1,54.59,38
1/3/16,53,31.3,39.9,24.5,0,0,0,0,19.2,219.29,28.9,9.9,24.5,63.01,42
1/4/16,37.9,24,33,10.2,0,0,0,0,23.3,322.79,33.6,9.9,45.4,46.61,51
1/5/16,33,15.9,24.2,-0.2,0,0,0,0,23.4,321.42,32.2,9.9,0,41.26,64
1/6/16,39.9,20.2,30.2,15.2,0,0,0,0,6.7,165.04,0,9.9,28,53.93,67
1/7/16,42.9,33.8,38.8,32.5,0,0,0,0,9.6,62.58,0,8.3,98.9,78.96,51
1/8/16,43.9,39.6,41.4,35,0,0,0,0,6.9,85.63,0,3.5,99.8,92.66,69
1/9/16,50,40.9,45.5,38.5,0,0.17,0,0,6.9,38,0,5.4,98.9,90.93,61
1/10/16,62,38.9,53.5,30,0,0.6,0,0,26.6,213.21,39.9,9,78,70.9,64
1/11/16,39.8,28.9,33.7,17.7,0,0,0,0,18.4,290.88,28.8,9.9,23.6,38.02,52
1/12/16,46.9,29.2,36.5,19.4,0,0,0,0,21.3,203.71,37.8,9.9,81.8,46.5,72
1/13/16,31.8,20.9,26.4,7.8,0,0,0,0,20.7,275.42,31.1,9.9,38.6,37.58,70
1/14/16,53,27.6,38.1,20.7,0,0,0,0,15.7,191.92,24.3,9.9,43.8,48.61,83
1/15/16,49,34.5,42.8,32,0,0.22,0,0,9.7,162.29,0,9.6,79.6,71.3,58
1/16/16,52,39.6,44.5,34,0,0.12,0,0,17.2,269,25.2,7.9,91.1,79.28,77
1/17/16,37.9,33.1,35.6,26.2,0,0.05,0,0,9.7,203.96,0,8.7,83.4,74.7,49
1/18/16,33,16.9,22.6,1.5,0,0,0,0,24.8,295.88,32.9,9.8,30.3,43.94,37
1/19/16,26.8,15.1,20.6,-2.2,0,0,0,0,23.2,301.71,33,9.9,6,40.09,50
1/20/16,29.8,19.8,24.5,6.4,0,0.03,0.74,0.74,14.5,265.5,27.3,8.5,66.2,54.3,61
1/21/16,34,23.9,28.2,12.3,0,0,0.46,1.2,18.3,305.38,25,9.7,51.8,58.08,154
1/22/16,28.9,21.7,24.7,7.6,0,0.38,9.2,9.2,21.5,153.71,30.3,6.2,61.3,71.54,47
1/23/16,28,24,26.1,9.3,0,1.01,8.64,17.85,29.8,280.33,41.1,1,69.1,87.66,9
1/24/16,34,21.1,27.5,10.6,0,0,1.85,19.7,15.9,312.67,28.6,9.5,32.9,57.49,18
1/25/16,40.9,16.5,28.1,9.9,0,0.01,0,18.05,6.3,106.29,0,8.4,65.5,71.01,40
1/26/16,51.4,31.7,41.8,23.9,0,0,0,13.49,15.5,217.67,23,9.9,92.3,63.13,50
1/27/16,46.9,33.1,40.2,27.7,0,0,0,8.49,15.8,309.21,25.2,9.9,76.1,57.02,59
1/28/16,39.2,24.6,32.7,21.6,0,0,1,6.55,10.3,166.04,0,9.9,68.1,70.66,100
1/29/16,42.8,28.7,35.5,23.8,0,0.01,0.78,4.76,25.3,254.42,36.5,9.8,60.4,59.85,87
1/30/16,41.2,24.4,34.5,18.6,0,0,0.18,4.76,14.7,189.58,0,9.9,21.8,56.56,90
1/31/16,56.4,36,45.3,30.4,0,0,0,4.68,13.9,190.54,28.9,9.9,67.9,57.09,58
2/1/16,60.1,44,49.7,40.9,0,0.11,1.82,3.52,16.1,271.33,0,9.8,89.4,75.39,60
2/2/16,51.1,36.7,43.6,30.7,0,0,0,0.66,11.4,133.25,0,9.9,51.3,66.17,75
2/3/16,56.1,41.1,47.8,38,0,0.48,4.9,4.9,12.2,154.88,29.8,8.5,95.9,89.14,51
2/4/16,57.1,43,49.8,35.5,0,0.15,0,1.71,19.3,294.46,25.3,8.3,98.1,67.62,64
2/5/16,42.9,34.5,38.7,26.2,0,0.05,0,0,23.2,323.33,34.1,9.2,62.3,57,82
2/6/16,43.1,29.3,36,24.6,0,0,0,0,11,175.71,0,9.9,57.7,57.82,63
2/7/16,45.9,29.5,37.9,24.6,0,0,0,0,13.4,177,0,9.9,81.6,59.32,64
2/8/16,46.1,34.8,40.4,27.2,0,0.01,0,0,13.4,195.35,19.7,9.9,88.4,58.81,35
2/9/16,39.3,33.1,36.7,24,0,0.19,0,0,15.4,210.92,20.8,8.4,95,80.22,55
2/10/16,38.7,26,32,14.2,0,0,0,0,18.8,297.17,31.9,9.7,85.9,51.65,62
2/11/16,29.7,21.7,25.1,8.7,0,0,0,0,20,295.75,31.8,9.9,32.9,37.58,80
2/12/16,30.7,19.6,25,11.2,0,0,0,0,12,207.58,20.8,9.9,81.9,46.44,74
2/13/16,28,15.9,21.7,0.4,0,0,0,0,27.2,301.88,38.8,9.7,62,42.88,66
2/14/16,25,12.5,19.1,-0.3,0,0,1.23,1.23,13.9,220.26,23,9.9,45.8,41.19,60
2/15/16,29.9,19.9,25.2,9.5,0,0.39,0.77,2,10.3,101.42,0,4.5,98.1,86.52,53
2/16/16,51.9,30.7,42.4,23.2,0,0.63,0.02,2.01,19.5,193.63,40.3,7,77.1,80,58
2/17/16,47.8,32.7,39.7,27.5,0,0,0,0.67,15.8,271.08,22,9.9,71,66.8,70
2/18/16,38.9,31.4,35.3,22.1,0,0,0,0,19.2,275.17,27.7,9.9,39.4,44.61,61
2/19/16,40.8,27.2,33.9,22.6,0,0,0,0,15.8,135.21,19.7,9.9,66.5,49.7,60
