Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
2016-01-01,46.0,37.8,42.1,31.3,0.0,0.0,0.0,0.0,12.4,314.29,0.0,9.9,73.4,57.83,Partially cloudy
2016-01-02,47.9,32.6,39.8,27.5,0.0,0.0,0.0,0.0,10.1,235.08,18.3,9.9,7.1,54.59,Clear
2016-01-03,53.0,31.3,39.9,24.5,0.0,0.0,0.0,0.0,19.2,219.29,28.9,9.9,24.5,63.01,Clear
2016-01-04,37.9,24.0,33.0,10.2,0.0,0.0,0.0,0.0,23.3,322.79,33.6,9.9,45.4,46.61,Partially cloudy
2016-01-05,33.0,15.9,24.2,-0.2,0.0,0.0,0.0,0.0,23.4,321.42,32.2,9.9,0.0,41.26,Clear
2016-01-06,39.9,20.2,30.2,15.2,0.0,0.0,0.0,0.0,6.7,165.04,0.0,9.9,28.0,53.93,Partially cloudy
2016-01-07,42.9,33.8,38.8,32.5,0.0,0.0,0.0,0.0,9.6,62.58,0.0,8.3,98.9,78.96,Overcast
2016-01-08,43.9,39.6,41.4,35.0,0.0,0.0,0.0,0.0,6.9,85.63,0.0,3.5,99.8,92.66,Overcast
2016-01-09,50.0,40.9,45.5,38.5,0.0,0.17,0.0,0.0,6.9,38.0,0.0,5.4,98.9,90.93,"Rain, Overcast"
2016-01-10,62.0,38.9,53.5,30.0,0.0,0.6,0.0,0.0,26.6,213.21,39.9,9.0,78.0,70.9,"Rain, Overcast"
2016-01-11,39.8,28.9,33.7,17.7,0.0,0.0,0.0,0.0,18.4,290.88,28.8,9.9,23.6,38.02,Clear
2016-01-12,46.9,29.2,36.5,19.4,0.0,0.0,0.0,0.0,21.3,203.71,37.8,9.9,81.8,46.5,Overcast
2016-01-13,31.8,20.9,26.4,7.8,0.0,0.0,0.0,0.0,20.7,275.42,31.1,9.9,38.6,37.58,Partially cloudy
2016-01-14,53.0,27.6,38.1,20.7,0.0,0.0,0.0,0.0,15.7,191.92,24.3,9.9,43.8,48.61,Partially cloudy
